Feature,Importance
PIE_DIFF,0.08220785
EFG_PCT_DIFF,0.06931216
NET_RATING_DIFF,0.06652551
OFF_RATING_DIFF,0.056704693
HOME_ELO,0.05424073
TS_PCT_DIFF,0.053047277
LAST10_DIFF,0.052246228
PACE_DIFF,0.051551
AWAY_ELO,0.051316828
ELO_DIFF,0.04835338
STREAK_DIFF,0.04730414
HOME_REST_DAYS,0.046610184
AWAY_LAST10_WIN_PCT,0.046298668
DEF_RATING_DIFF,0.04622402
REST_DAY_DIFF,0.04619407
HOME_LAST10_WIN_PCT,0.04586624
AWAY_REST_DAYS,0.04572319
AWAY_WIN_STREAK,0.045213353
HOME_WIN_STREAK,0.045060433
