GAME_ID,SEASON_ID,GAME_DATE,HOME_TEAM,AWAY_TEAM,HOME_TEAM_ID,AWAY_TEAM_ID,HOME_WIN,SEASON,HOME_GP,HOME_W,HOME_L,HOME_W_PCT,HOME_E_OFF_RATING,HOME_OFF_RATING,HOME_E_DEF_RATING,HOME_DEF_RATING,HOME_E_NET_RATING,HOME_NET_RATING,HOME_AST_PCT,HOME_AST_TO,HOME_AST_RATIO,HOME_OREB_PCT,HOME_DREB_PCT,HOME_REB_PCT,HOME_TM_TOV_PCT,HOME_EFG_PCT,HOME_TS_PCT,HOME_E_PACE,HOME_PACE,HOME_PACE_PER40,HOME_POSS,HOME_PIE,HOME_GP_RANK,AWAY_GP,AWAY_W,AWAY_L,AWAY_W_PCT,AWAY_E_OFF_RATING,AWAY_OFF_RATING,AWAY_E_DEF_RATING,AWAY_DEF_RATING,AWAY_E_NET_RATING,AWAY_NET_RATING,AWAY_AST_PCT,AWAY_AST_TO,AWAY_AST_RATIO,AWAY_OREB_PCT,AWAY_DREB_PCT,AWAY_REB_PCT,AWAY_TM_TOV_PCT,AWAY_EFG_PCT,AWAY_TS_PCT,AWAY_E_PACE,AWAY_PACE,AWAY_PACE_PER40,AWAY_POSS,AWAY_PIE,AWAY_GP_RANK,NET_RATING_DIFF,OFF_RATING_DIFF,DEF_RATING_DIFF,PACE_DIFF,TS_PCT_DIFF,EFG_PCT_DIFF,PIE_DIFF
41500117,42015,2016-05-01,Toronto Raptors,Indiana Pacers,1610612761,1610612754,1,2015-16,82,56,26,0.683,107.0,109.3,102.7,104.8,4.3,4.4,0.511,1.43,14.9,0.3,0.736,0.52,0.139,0.504,0.552,95.3,93.35,77.8,7707,0.525,1,82,45,37,0.549,102.4,103.8,100.2,102.2,2.2,1.6,0.554,1.43,16.1,0.271,0.714,0.494,0.151,0.497,0.536,99.0,97.35,81.13,8068,0.518,1,2.8000000000000003,5.5,2.5999999999999943,-4.0,0.016000000000000014,0.007000000000000006,0.007000000000000006
41500121,42015,2016-04-17,Miami Heat,Charlotte Hornets,1610612748,1610612766,1,2015-16,82,48,34,0.585,104.2,105.5,101.5,103.7,2.6,1.7,0.543,1.48,16.3,0.28,0.729,0.512,0.148,0.508,0.545,95.7,94.14,78.45,7779,0.525,1,82,48,34,0.585,105.1,106.4,101.8,103.7,3.3,2.7,0.586,1.73,16.7,0.244,0.754,0.499,0.129,0.502,0.545,97.8,96.24,80.2,7966,0.511,1,-1.0000000000000002,-0.9000000000000057,0.0,-2.0999999999999943,0.0,0.006000000000000005,0.014000000000000012
41500122,42015,2016-04-20,Miami Heat,Charlotte Hornets,1610612748,1610612766,1,2015-16,82,48,34,0.585,104.2,105.5,101.5,103.7,2.6,1.7,0.543,1.48,16.3,0.28,0.729,0.512,0.148,0.508,0.545,95.7,94.14,78.45,7779,0.525,1,82,48,34,0.585,105.1,106.4,101.8,103.7,3.3,2.7,0.586,1.73,16.7,0.244,0.754,0.499,0.129,0.502,0.545,97.8,96.24,80.2,7966,0.511,1,-1.0000000000000002,-0.9000000000000057,0.0,-2.0999999999999943,0.0,0.006000000000000005,0.014000000000000012
41500123,42015,2016-04-23,Charlotte Hornets,Miami Heat,1610612766,1610612748,1,2015-16,82,48,34,0.585,105.1,106.4,101.8,103.7,3.3,2.7,0.586,1.73,16.7,0.244,0.754,0.499,0.129,0.502,0.545,97.8,96.24,80.2,7966,0.511,1,82,48,34,0.585,104.2,105.5,101.5,103.7,2.6,1.7,0.543,1.48,16.3,0.28,0.729,0.512,0.148,0.508,0.545,95.7,94.14,78.45,7779,0.525,1,1.0000000000000002,0.9000000000000057,0.0,2.0999999999999943,0.0,-0.006000000000000005,-0.014000000000000012
41500124,42015,2016-04-25,Charlotte Hornets,Miami Heat,1610612766,1610612748,1,2015-16,82,48,34,0.585,105.1,106.4,101.8,103.7,3.3,2.7,0.586,1.73,16.7,0.244,0.754,0.499,0.129,0.502,0.545,97.8,96.24,80.2,7966,0.511,1,82,48,34,0.585,104.2,105.5,101.5,103.7,2.6,1.7,0.543,1.48,16.3,0.28,0.729,0.512,0.148,0.508,0.545,95.7,94.14,78.45,7779,0.525,1,1.0000000000000002,0.9000000000000057,0.0,2.0999999999999943,0.0,-0.006000000000000005,-0.014000000000000012
41500125,42015,2016-04-27,Miami Heat,Charlotte Hornets,1610612748,1610612766,0,2015-16,82,48,34,0.585,104.2,105.5,101.5,103.7,2.6,1.7,0.543,1.48,16.3,0.28,0.729,0.512,0.148,0.508,0.545,95.7,94.14,78.45,7779,0.525,1,82,48,34,0.585,105.1,106.4,101.8,103.7,3.3,2.7,0.586,1.73,16.7,0.244,0.754,0.499,0.129,0.502,0.545,97.8,96.24,80.2,7966,0.511,1,-1.0000000000000002,-0.9000000000000057,0.0,-2.0999999999999943,0.0,0.006000000000000005,0.014000000000000012
41500126,42015,2016-04-29,Charlotte Hornets,Miami Heat,1610612766,1610612748,0,2015-16,82,48,34,0.585,105.1,106.4,101.8,103.7,3.3,2.7,0.586,1.73,16.7,0.244,0.754,0.499,0.129,0.502,0.545,97.8,96.24,80.2,7966,0.511,1,82,48,34,0.585,104.2,105.5,101.5,103.7,2.6,1.7,0.543,1.48,16.3,0.28,0.729,0.512,0.148,0.508,0.545,95.7,94.14,78.45,7779,0.525,1,1.0000000000000002,0.9000000000000057,0.0,2.0999999999999943,0.0,-0.006000000000000005,-0.014000000000000012
41500127,42015,2016-05-01,Miami Heat,Charlotte Hornets,1610612748,1610612766,1,2015-16,82,48,34,0.585,104.2,105.5,101.5,103.7,2.6,1.7,0.543,1.48,16.3,0.28,0.729,0.512,0.148,0.508,0.545,95.7,94.14,78.45,7779,0.525,1,82,48,34,0.585,105.1,106.4,101.8,103.7,3.3,2.7,0.586,1.73,16.7,0.244,0.754,0.499,0.129,0.502,0.545,97.8,96.24,80.2,7966,0.511,1,-1.0000000000000002,-0.9000000000000057,0.0,-2.0999999999999943,0.0,0.006000000000000005,0.014000000000000012
41500131,42015,2016-04-16,Atlanta Hawks,Boston Celtics,1610612737,1610612738,1,2015-16,82,48,34,0.585,103.0,104.6,98.8,100.8,4.1,3.9,0.663,1.71,19.0,0.234,0.698,0.474,0.152,0.516,0.552,99.4,97.63,81.36,8059,0.528,1,82,48,34,0.585,103.9,105.8,100.9,102.5,3.0,3.3,0.616,1.76,17.4,0.29,0.707,0.495,0.138,0.488,0.531,101.1,99.43,82.86,8191,0.52,1,0.6000000000000001,-1.2000000000000028,-1.7000000000000028,-1.8000000000000114,0.02100000000000002,0.028000000000000025,0.008000000000000007
41500132,42015,2016-04-19,Atlanta Hawks,Boston Celtics,1610612737,1610612738,1,2015-16,82,48,34,0.585,103.0,104.6,98.8,100.8,4.1,3.9,0.663,1.71,19.0,0.234,0.698,0.474,0.152,0.516,0.552,99.4,97.63,81.36,8059,0.528,1,82,48,34,0.585,103.9,105.8,100.9,102.5,3.0,3.3,0.616,1.76,17.4,0.29,0.707,0.495,0.138,0.488,0.531,101.1,99.43,82.86,8191,0.52,1,0.6000000000000001,-1.2000000000000028,-1.7000000000000028,-1.8000000000000114,0.02100000000000002,0.028000000000000025,0.008000000000000007
